espece,categorie,eau_g_pour_100g,pct_MS
Concombre (cru),légume-feuille,96.30,3.70
Feuille de chêne (crue),légume-feuille,95.80,4.20
Batavia (crue),légume-feuille,95.60,4.40
Radis rouge (cru),légume-feuille,95.50,4.50
Blette (crue),légume-feuille,95.40,4.60
Laitue (crue),légume-feuille,95.30,4.70
Blette (bouillie),légume-feuille,95.20,4.80
Fenouil (cuit à l'étouffée),légume-feuille,95.10,4.90
Asperge blanche (bouillie),légume-feuille,94.90,5.10
Courgette (crue),légume-feuille,94.70,5.30
Cresson de fontaine (cru),légume-feuille,94.60,5.40
Laitue romaine (crue),légume-feuille,94.60,5.40
Potimarron (cru),légume-feuille,94.60,5.40
Tomate grappe (crue),légume-fruit,94.60,5.40
Tomate côtelée et cœur de bœuf (crue),légume-fruit,94.40,5.60
Céleri branche (cuit à l'étouffée),légume-feuille,94.30,5.70
Endive (crue),légume-feuille,94.30,5.70
Navet (bouilli),légume-racine,94.20,5.80
Tomate ronde (crue),légume-fruit,94.10,5.90
Cardon (cru),légume-feuille,94.00,6.00
Champignon (cru),légume-feuille,93.90,6.10
Brocoli (bouilli fondant),légume-feuille,93.80,6.20
Endive (cuite au four),légume-feuille,93.70,6.30
Mâche (crue),légume-feuille,93.70,6.30
Épinard (jeunes pousses crue),légume-feuille,93.70,6.30
Cardon (cuit),légume-feuille,93.50,6.50
Céleri branche (cru),légume-feuille,93.40,6.60
Courgette (cuite),légume-feuille,93.10,6.90
Oseille (crue),légume-feuille,93.00,7.00
Poivron vert (cru),légume-fruit,93.00,7.00
Aubergine (crue),légume-fruit,92.90,7.10
Brocoli (bouilli croquant),légume-feuille,92.90,7.10
Chou blanc (bouilli),légume-feuille,92.90,7.10
Chou-fleur (cru),légume-feuille,92.90,7.10
Fenouil (cru),légume-feuille,92.90,7.10
Asperge verte (bouillie),légume-feuille,92.70,7.30
Chou vert (bouilli),légume-feuille,92.70,7.30
Tomate ronde (rôtie),légume-fruit,92.60,7.40
Asperge verte (crue),légume-feuille,92.50,7.50
Poivron vert (sauté),légume-fruit,92.40,7.60
Asperge blanche (crue),légume-feuille,92.40,7.60
Épinard (bouilli),légume-feuille,91.90,8.10
Navet (cru),légume-racine,91.90,8.10
Poivron jaune (cru),légume-fruit,91.90,8.10
Chou vert (cru),légume-feuille,91.80,8.20
Soja pousse (cru),légume-feuille,91.70,8.30
Poireau (bouilli),légume-feuille,91.60,8.40
Potiron (cru),légume-feuille,91.60,8.40
Radis noir (cru),légume-racine,91.40,8.60
Oignon nouveau (sauté),légume-bulbe,91.20,8.80
Chou-fleur (cuit à la vapeur),légume-feuille,91.10,8.90
Aubergine (cuite),légume-fruit,91.00,9.00
Céleri-rave (bouilli),légume-racine,91.00,9.00
Pois gourmands (bouillis),légume-graine,90.90,9.10
Haricot vert (bouilli),légume-feuille,90.80,9.20
Chou rouge (cru),légume-feuille,90.70,9.30
Potiron (rôti),légume-feuille,90.70,9.30
Poivron jaune (sauté),légume-fruit,90.50,9.50
Haricot vert (cru),légume-feuille,90.40,9.60
Oignon rouge (cru),légume-bulbe,90.30,9.70
Poivron rouge (cru),légume-fruit,90.20,9.80
Carotte (bouillie fondante),légume-racine,90.10,9.90
Haricot beurre (cru),légume-feuille,90.10,9.90
Tomate cerise (crue),légume-fruit,90.10,9.90
Chou blanc (cru),légume-feuille,90.00,10.00
Poivron rouge (sauté),légume-fruit,89.80,10.20
Haricot beurre (bouilli),légume-feuille,89.60,10.40
Brocoli (cuit à la vapeur),légume-feuille,89.40,10.60
Carotte (bouillie croquante),légume-racine,89.20,10.80
Chou rouge (cuit),légume-feuille,89.10,10.90
Oignon jaune (cru),légume-bulbe,89.00,11.00
Brocoli (cru),légume-feuille,88.90,11.10
Potimarron (bouilli),légume-feuille,88.90,11.10
Céleri-rave (cru),légume-racine,88.80,11.20
Champignon (sauté),légume-feuille,88.40,11.60
Betterave rouge (cuite),légume-racine,88.30,11.70
Pois gourmands (cru),légume-graine,88.30,11.70
Carotte (crue),légume-racine,88.10,11.90
Oignon jaune (cuit),légume-bulbe,88.10,11.90
Oignon rouge (cuit),légume-bulbe,87.90,12.10
Carotte (cuite à la vapeur),légume-racine,87.70,12.30
Poireau (cru),légume-feuille,87.60,12.40
Betterave rouge (crue),légume-racine,86.70,13.30
Chou de Bruxelles (bouilli),légume-feuille,85.50,14.50
Pissenlit (cru),légume-feuille,85.30,14.70
Chou de Bruxelles (cru),légume-feuille,85.00,15.00
Artichaut (cru),légume-feuille,84.90,15.10
Salsifis (bouilli),légume-racine,82.80,17.20
Artichaut (cuit),légume-feuille,81.40,18.60
Topinambour (cuit),légume-tubercule,80.20,19.80
Topinambour (cru),légume-tubercule,80.10,19.90
Petit pois (cru),légume-graine,79.20,20.80
Petit pois (bouilli),légume-graine,77.40,22.60
Salsifis (cru),légume-racine,77.00,23.00
Panais (cuit à l'étouffée),légume-racine,73.60,26.40
Maïs en épi (cuit),légume-graine,73.40,26.60
Avocat (cru),fruit,70.30,29.70
Citron (cru),fruit,91.30,8.70
Pastèque (crue),fruit,91.00,9.00
Fraise (crue),fruit,90.30,9.70
Pomelo (cru),fruit,89.30,10.70
Papaye (crue),fruit,88.80,11.20
Figue de barbarie (crue),fruit,88.40,11.60
Groseille à maquereau (crue),fruit,87.90,12.10
Pêche jaune (crue),fruit,87.80,12.20
Mûre noire (crue),fruit,87.70,12.30
Pêche blanche (crue),fruit,87.60,12.40
Orange (crue),fruit,87.30,12.70
Abricot (cru),fruit,87.10,12.90
Clémentine / Mandarine (crue),fruit,87.00,13.00
Framboise (crue),fruit,86.80,13.20
Nectarine jaune (crue),fruit,86.60,13.40
Nectarine blanche (crue),fruit,86.50,13.50
Pomme Chantecler (crue sans peau),fruit,86.40,13.60
Citron vert (cru),fruit,86.30,13.70
Mûre de ronce (crue),fruit,86.10,13.90
Cerise (crue),fruit,85.70,14.30
Ananas (cru),fruit,85.50,14.50
Pomme Gala (crue sans peau),fruit,85.50,14.50
Pomme Golden (crue sans peau),fruit,85.50,14.50
Poire Conférence (crue),fruit,85.30,14.70
Pomme Granny Smith (crue sans peau),fruit,85.30,14.70
Poire Williams (crue),fruit,84.70,15.30
Melon (cru),fruit,84.20,15.80
Myrtille (crue),fruit,84.20,15.80
Pomme Pink Lady (crue),fruit,83.60,16.40
Coing (cru),fruit,83.50,16.50
Kiwi (cru),fruit,83.50,16.50
Groseille (crue),fruit,82.10,17.90
Kaki (cru),fruit,81.80,18.20
Mangue (crue),fruit,81.10,18.90
Cassis (cru),fruit,80.50,19.50
Litchi (cru),fruit,80.50,19.50
Figue (crue),fruit,80.20,19.80
Prune Reine-Claude (crue),fruit,80.10,19.90
Grenade (crue),fruit,79.40,20.60
Raisin blanc (cru),fruit,79.40,20.60
Mirabelle (crue),fruit,78.10,21.90
Raisin noir (cru),fruit,76.70,23.30
Banane (crue),fruit,75.80,24.20
Fruit de la passion (cru),fruit,73.60,26.40
Pomme de terre (crue),légume-tubercule,79.00,21.00
Patate douce (crue),légume-tubercule,78.80,21.20
Pomme de terre (bouillie),légume-tubercule,78.30,21.70
Patate douce (cuite),légume-tubercule,78.00,22.00
Pomme de terre (rôtie),légume-tubercule,74.90,25.10
Fève (bouillie),légume-graine,77.90,22.10
Haricot coco (bouilli),légume-graine,61.30,38.70
